1:1	بِسۡمِ ٱللَّهِ ٱلرَّحۡمَـٰنِ ٱلرَّحِيمِ	bismi lːaːhi rːaħmaːni rːaħiːm
38:83	إِلَّا عِبَادَكَ مِنۡهُمُ ٱلۡمُخۡلَصِينَ	ʔilːaː ʕibaːdaka minhumu lmuxlasˤiːn
38:84	قَالَ فَٱلۡحَقُّ وَٱلۡحَقَّ أَقُولُ	qaːla falħaqːu walħaqːa ʔaquːl
38:85	لَأَمۡلَأَنَّ جَهَنَّمَ مِنكَ وَمِمَّن تَبِعَكَ مِنۡهُمۡ أَجۡمَعِينَ	laʔamlaʔanː̃a d͡ʒahanː̃ama miⁿka wamimː̃aⁿ tabiʕaka minhum ʔad͡ʒᵊmaʕiːn
38:86	قُلۡ مَآ أَسۡــَٔلُكُمۡ عَلَيۡهِ مِنۡ أَجۡرٍ وَمَآ أَنَاۡ مِنَ ٱلۡمُتَكَلِّفِينَ	qul maːː ʔasʔalukum ʕalajhi min ʔad͡ʒᵊri w̃ːamaːː ʔanaː mina lmutakalːifiːn
38:87	إِنۡ هُوَ إِلَّا ذِكۡرٌ لِّلۡعَـٰلَمِينَ	ʔin huwa ʔilːaː ðikru lːilʕaːlamiːn
38:88	وَلَتَعۡلَمُنَّ نَبَأَهُۥ بَعۡدَ حِينِۭ	walataʕlamunː̃a nabaʔahuː baʕda ħiːn
39:1	تَنزِيلُ ٱلۡكِتَـٰبِ مِنَ ٱللَّهِ ٱلۡعَزِيزِ ٱلۡحَكِيمِ	taⁿziːlu lkitaːbi mina lːaːhi lʕaziːzi lħakiːm
39:2	إِنَّآ أَنزَلۡنَآ إِلَيۡكَ ٱلۡكِتَـٰبَ بِٱلۡحَقِّ فَٱعۡبُدِ ٱللَّهَ مُخۡلِصًا لَّهُ ٱلدِّينَ	ʔinː̃aːː ʔaⁿzalnaːː ʔilajka lkitaːba bilħaqːi faʕbudi lːaːha muxlisˤa lːahu dːiːn
39:3	أَلَا لِلَّهِ ٱلدِّينُ ٱلۡخَالِصُ‌ۚ وَٱلَّذِينَ ٱتَّخَذُواۡ مِن دُونِهِۦٓ أَوۡلِيَآءَ مَا نَعۡبُدُهُمۡ إِلَّا لِيُقَرِّبُونَآ إِلَى ٱللَّهِ زُلۡفَىٰٓ إِنَّ ٱللَّهَ يَحۡكُمُ بَيۡنَهُمۡ فِى مَا هُمۡ فِيهِ يَخۡتَلِفُونَ‌ۗ إِنَّ ٱللَّهَ لَا يَهۡدِى مَنۡ هُوَ كَـٰذِبٌ كَفَّارٌ	ʔalaː lilːaːhi dːiːnu lxaːlisˤu walːaðiːna tːaxaðuː miⁿ duːnihiːː ʔawlijaːːʔa maː naʕbuduhum ʔilːaː lijuqarːibuːnaːː ʔilaː lːaːhi zulfaːː ʔinː̃a lːaːha jaħkumu bajnahum fiː maː hum fiːhi jaxtalifuːna ʔinː̃a lːaːha laː jahdiː man huwa kaːðibuⁿ kafːaːr
39:4	لَّوۡ أَرَادَ ٱللَّهُ أَن يَتَّخِذَ وَلَدًا لَّٱصۡطَفَىٰ مِمَّا يَخۡلُقُ مَا يَشَآءُ‌ۚ سُبۡحَـٰنَهُۥ‌ۖ هُوَ ٱللَّهُ ٱلۡوٰحِدُ ٱلۡقَهَّارُ	lːaw ʔaraːda lːaːhu ʔa j̃ːatːaxiða walada lːasˤtˤafaː mimː̃aː jaxluqu maː jaʃaːːʔu subᵊħaːnahuː huwa lːaːhu lwaːħidu lqahːaːr
39:5	خَلَقَ ٱلسَّمَـٰوٰتِ وَٱلۡأَرۡضَ بِٱلۡحَقِّ‌ۖ يُكَوِّرُ ٱلَّيۡلَ عَلَى ٱلنَّهَارِ وَيُكَوِّرُ ٱلنَّهَارَ عَلَى ٱلَّيۡلِ‌ۖ وَسَخَّرَ ٱلشَّمۡسَ وَٱلۡقَمَرَ‌ۖ كُلٌّ يَجۡرِى لِأَجَلٍ مُّسَمًّى‌ۗ أَلَا هُوَ ٱلۡعَزِيزُ ٱلۡغَفَّـٰرُ	xalaqa sːamaːwaːti walʔardˤa bilħaqːi jukawːiru lːajla ʕalaː nː̃ahaːri wajukawːiru nː̃ahaːra ʕalaː lːajli wasaxːara ʃːamsa walqamara kulːu j̃ːad͡ʒᵊriː liʔad͡ʒali mː̃usamː̃an ʔalaː huwa lʕaziːzu lɣafːaːr
39:6	خَلَقَكُم مِّن نَّفۡسٍ وٰحِدَةٍ ثُمَّ جَعَلَ مِنۡهَا زَوۡجَهَا وَأَنزَلَ لَكُم مِّنَ ٱلۡأَنۡعَـٰمِ ثَمَـٰنِيَةَ أَزۡوٰجٍ‌ۚ يَخۡلُقُكُمۡ فِى بُطُونِ أُمَّهَـٰتِكُمۡ خَلۡقًا مِّنۢ بَعۡدِ خَلۡقٍ فِى ظُلُمَـٰتٍ ثَلَـٰثٍ‌ۚ ذٰلِكُمُ ٱللَّهُ رَبُّكُمۡ لَهُ ٱلۡمُلۡكُ‌ۖ لَآ إِلَـٰهَ إِلَّا هُوَ‌ۖ فَأَنَّىٰ تُصۡرَفُونَ	xalaqaku mː̃i nː̃afsi aːħ̃ːidatiⁿ θumː̃a d͡ʒaʕala minhaː zawd͡ʒahaː waʔaⁿzala laku mː̃ina lʔanʕaːmi θamaːnijata ʔazwaːd͡ʒi j̃ːaxluqukum fiː butˤuːni ʔumː̃ahaːtikum xalqa mː̃iᵐ baʕdi xalqiⁿ fiː ðˤulumaːtiⁿ θalaːθiⁿ ⁿaːlikumu lːaːhu rabːukum lahu lmulku laːː ʔilaːha ʔilːaː huwa faʔanː̃aː tusˤrafuːn
39:7	إِن تَكۡفُرُواۡ فَإِنَّ ٱللَّهَ غَنِىٌّ عَنكُمۡ‌ۖ وَلَا يَرۡضَىٰ لِعِبَادِهِ ٱلۡكُفۡرَ‌ۖ وَإِن تَشۡكُرُواۡ يَرۡضَهُ لَكُمۡ‌ۗ وَلَا تَزِرُ وَازِرَةٌ وِزۡرَ أُخۡرَىٰ‌ۗ ثُمَّ إِلَىٰ رَبِّكُم مَّرۡجِعُكُمۡ فَيُنَبِّئُكُم بِمَا كُنتُمۡ تَعۡمَلُونَ‌ۚ إِنَّهُۥ عَلِيمُۢ بِذَاتِ ٱلصُّدُورِ	ʔiⁿ takfuruː faʔinː̃a lːaːha ɣanijːun ʕaⁿkum walaː jardˤaː liʕibaːdihi lkufra waʔiⁿ taʃkuruː jardˤahu lakum walaː taziru waːziratu w̃ːizra ʔuxraː θumː̃a ʔilaː rabːiku mː̃ard͡ʒiʕukum fajunabːiʔukuᵐ bimaː kuⁿtum taʕmaluːna ʔinː̃ahuː ʕaliːmuᵐ biðaːti sˤːuduːr
39:8	۞وَإِذَا مَسَّ ٱلۡإِنسَـٰنَ ضُرٌّ دَعَا رَبَّهُۥ مُنِيبًا إِلَيۡهِ ثُمَّ إِذَا خَوَّلَهُۥ نِعۡمَةً مِّنۡهُ نَسِىَ مَا كَانَ يَدۡعُوٓاۡ إِلَيۡهِ مِن قَبۡلُ وَجَعَلَ لِلَّهِ أَندَادًا لِّيُضِلَّ عَن سَبِيلِهِۦ‌ۚ قُلۡ تَمَتَّعۡ بِكُفۡرِكَ قَلِيلاً‌ۖ إِنَّكَ مِنۡ أَصۡحَـٰبِ ٱلنَّارِ	waʔiðaː masːa lʔiⁿsaːna dˤurːuⁿ daʕaː rabːahuː muniːban ʔilajhi θumː̃a ʔiðaː xawːalahuː niʕmata mː̃inhu nasija maː kaːna jadᵊʕuːː ʔilajhi miⁿ qabᵊlu wad͡ʒaʕala lilːaːhi ʔaⁿdaːda lːijudˤilːa ʕaⁿ sabiːlihiː qul tamatːaʕ bikufrika qaliːlan ʔinː̃aka min ʔasˤħaːbi nː̃aːr
39:9	أَمَّنۡ هُوَ قَـٰنِتٌ ءَانَآءَ ٱلَّيۡلِ سَاجِدًا وَقَآئِمًا يَحۡذَرُ ٱلۡأَخِرَةَ وَيَرۡجُواۡ رَحۡمَةَ رَبِّهِۦ‌ۗ قُلۡ هَلۡ يَسۡتَوِى ٱلَّذِينَ يَعۡلَمُونَ وَٱلَّذِينَ لَا يَعۡلَمُونَ‌ۗ إِنَّمَا يَتَذَكَّرُ أُوۡلُواۡ ٱلۡأَلۡبَـٰبِ	ʔamː̃an huwa qaːnitun ʔaːnaːːʔa lːajli saːd͡ʒida w̃ːaqaːːʔima j̃ːaħðaru lʔaxirata wajard͡ʒuː raħmata rabːihiː qul hal jastawiː lːaðiːna jaʕlamuːna walːaðiːna laː jaʕlamuːna ʔinː̃amaː jataðakːaru ʔuluː lʔalbaːbᵊ
39:10	قُلۡ يَـٰعِبَادِ ٱلَّذِينَ ءَامَنُواۡ ٱتَّقُواۡ رَبَّكُمۡ‌ۚ لِلَّذِينَ أَحۡسَنُواۡ فِى هَـٰذِهِ ٱلدُّنۡيَا حَسَنَةٌ‌ۗ وَأَرۡضُ ٱللَّهِ وٰسِعَةٌ‌ۗ إِنَّمَا يُوَفَّى ٱلصَّـٰبِرُونَ أَجۡرَهُم بِغَيۡرِ حِسَابٍ	qul jaːʕibaːdi lːaðiːna ʔaːmanuː tːaquː rabːakum lilːaðiːna ʔaħsanuː fiː haːðihi dːunjaː ħasanatu w̃ːaʔardˤu lːaːhi waːsiʕatun ʔinː̃amaː juwafːaː sˤːaːbiruːna ʔad͡ʒᵊrahuᵐ biɣajri ħisaːbᵊ
39:11	قُلۡ إِنِّىٓ أُمِرۡتُ أَنۡ أَعۡبُدَ ٱللَّهَ مُخۡلِصًا لَّهُ ٱلدِّينَ	qul ʔinː̃iːː ʔumirtu ʔan ʔaʕbuda lːaːha muxlisˤa lːahu dːiːn
39:12	وَأُمِرۡتُ لِأَنۡ أَكُونَ أَوَّلَ ٱلۡمُسۡلِمِينَ	waʔumirtu liʔan ʔakuːna ʔawːala lmuslimiːn
39:13	قُلۡ إِنِّىٓ أَخَافُ إِنۡ عَصَيۡتُ رَبِّى عَذَابَ يَوۡمٍ عَظِيمٍ	qul ʔinː̃iːː ʔaxaːfu ʔin ʕasˤajtu rabːiː ʕaðaːba jawmin ʕaðˤiːm
39:14	قُلِ ٱللَّهَ أَعۡبُدُ مُخۡلِصًا لَّهُۥ دِينِى	quli lːaːha ʔaʕbudu muxlisˤa lːahuː diːniː
39:15	فَٱعۡبُدُواۡ مَا شِئۡتُم مِّن دُونِهِۦ‌ۗ قُلۡ إِنَّ ٱلۡخَـٰسِرِينَ ٱلَّذِينَ خَسِرُوٓاۡ أَنفُسَهُمۡ وَأَهۡلِيهِمۡ يَوۡمَ ٱلۡقِيَـٰمَةِ‌ۗ أَلَا ذٰلِكَ هُوَ ٱلۡخُسۡرَانُ ٱلۡمُبِينُ	faʕbuduː maː ʃiʔtu mː̃iⁿ duːnihiː qul ʔinː̃a lxaːsiriːna lːaðiːna xasiruːː ʔaⁿfusahum waʔahliːhim jawma lqijaːmati ʔalaː ðaːlika huwa lxusraːnu lmubiːn
39:16	لَهُم مِّن فَوۡقِهِمۡ ظُلَلٌ مِّنَ ٱلنَّارِ وَمِن تَحۡتِهِمۡ ظُلَلٌ‌ۚ ذٰلِكَ يُخَوِّفُ ٱللَّهُ بِهِۦ عِبَادَهُۥ‌ۚ يَـٰعِبَادِ فَٱتَّقُونِ	lahu mː̃iⁿ fawqihim ðˤulalu mː̃ina nː̃aːri wamiⁿ taħtihim ðˤulaluⁿ ⁿaːlika juxawːifu lːaːhu bihiː ʕibaːdahuː jaːʕibaːdi fatːaquːn
39:17	وَٱلَّذِينَ ٱجۡتَنَبُواۡ ٱلطَّـٰغُوتَ أَن يَعۡبُدُوهَا وَأَنَابُوٓاۡ إِلَى ٱللَّهِ لَهُمُ ٱلۡبُشۡرَىٰ‌ۚ فَبَشِّرۡ عِبَادِ	walːaðiːna d͡ʒᵊtanabuː tˤːaːɣuːta ʔa j̃ːaʕbuduːhaː waʔanaːbuːː ʔilaː lːaːhi lahumu lbuʃraː fabaʃːir ʕibaːdᵊ
39:18	ٱلَّذِينَ يَسۡتَمِعُونَ ٱلۡقَوۡلَ فَيَتَّبِعُونَ أَحۡسَنَهُۥٓ‌ۚ أُوۡلَـٰٓئِكَ ٱلَّذِينَ هَدَٮٰهُمُ ٱللَّهُ‌ۖ وَأُوۡلَـٰٓئِكَ هُمۡ أُوۡلُواۡ ٱلۡأَلۡبَـٰبِ	ʔalːaðiːna jastamiʕuːna lqawla fajatːabiʕuːna ʔaħsanahuːː ʔulaːːʔika lːaðiːna hadaːhumu lːaːhu waʔulaːːʔika hum ʔuluː lʔalbaːbᵊ
39:19	أَفَمَنۡ حَقَّ عَلَيۡهِ كَلِمَةُ ٱلۡعَذَابِ أَفَأَنتَ تُنقِذُ مَن فِى ٱلنَّارِ	ʔafaman ħaqːa ʕalajhi kalimatu lʕaðaːbi ʔafaʔaⁿta tuⁿqiðu maⁿ fiː nː̃aːr
39:20	لَـٰكِنِ ٱلَّذِينَ ٱتَّقَوۡاۡ رَبَّهُمۡ لَهُمۡ غُرَفٌ مِّن فَوۡقِهَا غُرَفٌ مَّبۡنِيَّةٌ تَجۡرِى مِن تَحۡتِهَا ٱلۡأَنۡهَـٰرُ‌ۖ وَعۡدَ ٱللَّهِ‌ۖ لَا يُخۡلِفُ ٱللَّهُ ٱلۡمِيعَادَ	laːkini lːaðiːna tːaqaw rabːahum lahum ɣurafu mː̃iⁿ fawqihaː ɣurafu mː̃abᵊnijːatuⁿ tad͡ʒᵊriː miⁿ taħtihaː lʔanhaːru waʕda lːaːhi laː juxlifu lːaːhu lmiːʕaːdᵊ
39:21	أَلَمۡ تَرَ أَنَّ ٱللَّهَ أَنزَلَ مِنَ ٱلسَّمَآءِ مَآءً فَسَلَكَهُۥ يَنَـٰبِيعَ فِى ٱلۡأَرۡضِ ثُمَّ يُخۡرِجُ بِهِۦ زَرۡعًا مُّخۡتَلِفًا أَلۡوٰنُهُۥ ثُمَّ يَهِيجُ فَتَرَٮٰهُ مُصۡفَرًّا ثُمَّ يَجۡعَلُهُۥ حُطَـٰمًا‌ۚ إِنَّ فِى ذٰلِكَ لَذِكۡرَىٰ لِأُوۡلِى ٱلۡأَلۡبَـٰبِ	ʔalam tara ʔanː̃a lːaːha ʔaⁿzala mina sːamaːːʔi maːːʔaⁿ fasalakahuː janaːbiːʕa fiː lʔardˤi θumː̃a juxrid͡ʒu bihiː zarʕa mː̃uxtalifan ʔalwaːnuhuː θumː̃a jahiːd͡ʒu fataraːhu musˤfarːaⁿ θumː̃a jad͡ʒᵊʕaluhuː ħutˤaːman ʔinː̃a fiː ðaːlika laðikraː liʔuliː lʔalbaːbᵊ
39:22	أَفَمَن شَرَحَ ٱللَّهُ صَدۡرَهُۥ لِلۡإِسۡلَـٰمِ فَهُوَ عَلَىٰ نُورٍ مِّن رَّبِّهِۦ‌ۚ فَوَيۡلٌ لِّلۡقَـٰسِيَةِ قُلُوبُهُم مِّن ذِكۡرِ ٱللَّهِ‌ۚ أُوۡلَـٰٓئِكَ فِى ضَلَـٰلٍ مُّبِينٍ	ʔafamaⁿ ʃaraħa lːaːhu sˤadᵊrahuː lilʔislaːmi fahuwa ʕalaː nuːri mː̃i rːabːihiː fawajlu lːilqaːsijati quluːbuhu mː̃iⁿ ðikri lːaːhi ʔulaːːʔika fiː dˤalaːli mː̃ubiːn
39:23	ٱللَّهُ نَزَّلَ أَحۡسَنَ ٱلۡحَدِيثِ كِتَـٰبًا مُّتَشَـٰبِهًا مَّثَانِىَ تَقۡشَعِرُّ مِنۡهُ جُلُودُ ٱلَّذِينَ يَخۡشَوۡنَ رَبَّهُمۡ ثُمَّ تَلِينُ جُلُودُهُمۡ وَقُلُوبُهُمۡ إِلَىٰ ذِكۡرِ ٱللَّهِ‌ۚ ذٰلِكَ هُدَى ٱللَّهِ يَهۡدِى بِهِۦ مَن يَشَآءُ‌ۚ وَمَن يُضۡلِلِ ٱللَّهُ فَمَا لَهُۥ مِنۡ هَادٍ	ʔalːaːhu nazːala ʔaħsana lħadiːθi kitaːba mː̃utaʃaːbiha mː̃aθaːnija taqᵊʃaʕirːu minhu d͡ʒuluːdu lːaðiːna jaxʃawna rabːahum θumː̃a taliːnu d͡ʒuluːduhum waquluːbuhum ʔilaː ðikri lːaːhi ðaːlika hudaː lːaːhi jahdiː bihiː ma j̃ːaʃaːːʔu wama j̃ːudˤlili lːaːhu famaː lahuː min haːdᵊ
39:24	أَفَمَن يَتَّقِى بِوَجۡهِهِۦ سُوٓءَ ٱلۡعَذَابِ يَوۡمَ ٱلۡقِيَـٰمَةِ‌ۚ وَقِيلَ لِلظَّـٰلِمِينَ ذُوقُواۡ مَا كُنتُمۡ تَكۡسِبُونَ	ʔafama j̃ːatːaqiː biwad͡ʒᵊhihiː suːːʔa lʕaðaːbi jawma lqijaːmati waqiːla lilðˤːaːlimiːna ðuːquː maː kuⁿtum taksibuːn
39:25	كَذَّبَ ٱلَّذِينَ مِن قَبۡلِهِمۡ فَأَتَـٰهُمُ ٱلۡعَذَابُ مِنۡ حَيۡثُ لَا يَشۡعُرُونَ	kaðːaba lːaðiːna miⁿ qabᵊlihim faʔataːhumu lʕaðaːbu min ħajθu laː jaʃʕuruːn
39:26	فَأَذَاقَهُمُ ٱللَّهُ ٱلۡخِزۡىَ فِى ٱلۡحَيَوٰةِ ٱلدُّنۡيَا‌ۖ وَلَعَذَابُ ٱلۡأَخِرَةِ أَكۡبَرُ‌ۚ لَوۡ كَانُواۡ يَعۡلَمُونَ	faʔaðaːqahumu lːaːhu lxizja fiː lħajaːti dːunjaː walaʕaðaːbu lʔaxirati ʔakbaru law kaːnuː jaʕlamuːn
39:27	وَلَقَدۡ ضَرَبۡنَا لِلنَّاسِ فِى هَـٰذَا ٱلۡقُرۡءَانِ مِن كُلِّ مَثَلٍ لَّعَلَّهُمۡ يَتَذَكَّرُونَ	walaqadᵊ dˤarabᵊnaː lilnː̃aːsi fiː haːðaː lqurʔaːni miⁿ kulːi maθali lːaʕalːahum jataðakːaruːn
39:28	قُرۡءَانًا عَرَبِيًّا غَيۡرَ ذِى عِوَجٍ لَّعَلَّهُمۡ يَتَّقُونَ	qurʔaːnan ʕarabijːan ɣajra ðiː ʕiwad͡ʒi lːaʕalːahum jatːaquːn
39:29	ضَرَبَ ٱللَّهُ مَثَلاً رَّجُلاً فِيهِ شُرَكَآءُ مُتَشَـٰكِسُونَ وَرَجُلاً سَلَمًا لِّرَجُلٍ هَلۡ يَسۡتَوِيَانِ مَثَلاً‌ۚ ٱلۡحَمۡدُ لِلَّهِ‌ۚ بَلۡ أَكۡثَرُهُمۡ لَا يَعۡلَمُونَ	dˤaraba lːaːhu maθala rːad͡ʒulaⁿ fiːhi ʃurakaːːʔu mutaʃaːkisuːna warad͡ʒulaⁿ salama lːirad͡ʒulin hal jastawijaːni maθalan lħamdu lilːaːhi bal ʔakθaruhum laː jaʕlamuːn
39:30	إِنَّكَ مَيِّتٌ وَإِنَّهُم مَّيِّتُونَ	ʔinː̃aka majːitu w̃ːaʔinː̃ahu mː̃ajːituːn
39:31	ثُمَّ إِنَّكُمۡ يَوۡمَ ٱلۡقِيَـٰمَةِ عِندَ رَبِّكُمۡ تَخۡتَصِمُونَ	θumː̃a ʔinː̃akum jawma lqijaːmati ʕiⁿda rabːikum taxtasˤimuːn
39:32	۞فَمَنۡ أَظۡلَمُ مِمَّن كَذَبَ عَلَى ٱللَّهِ وَكَذَّبَ بِٱلصِّدۡقِ إِذۡ جَآءَهُۥٓ‌ۚ أَلَيۡسَ فِى جَهَنَّمَ مَثۡوًى لِّلۡكَـٰفِرِينَ	faman ʔaðˤlamu mimː̃aⁿ kaðaba ʕalaː lːaːhi wakaðːaba bisˤːidᵊqi ʔið d͡ʒaːːʔahuːː ʔalajsa fiː d͡ʒahanː̃ama maθwa lːilkaːfiriːn
39:33	وَٱلَّذِى جَآءَ بِٱلصِّدۡقِ وَصَدَّقَ بِهِۦٓ‌ۙ أُوۡلَـٰٓئِكَ هُمُ ٱلۡمُتَّقُونَ	walːaðiː d͡ʒaːːʔa bisˤːidᵊqi wasˤadːaqa bihiːː ʔulaːːʔika humu lmutːaquːn
39:34	لَهُم مَّا يَشَآءُونَ عِندَ رَبِّهِمۡ‌ۚ ذٰلِكَ جَزَآءُ ٱلۡمُحۡسِنِينَ	lahu mː̃aː jaʃaːːʔuːna ʕiⁿda rabːihim ðaːlika d͡ʒazaːːʔu lmuħsiniːn
39:35	لِيُكَفِّرَ ٱللَّهُ عَنۡهُمۡ أَسۡوَأَ ٱلَّذِى عَمِلُواۡ وَيَجۡزِيَهُمۡ أَجۡرَهُم بِأَحۡسَنِ ٱلَّذِى كَانُواۡ يَعۡمَلُونَ	lijukafːira lːaːhu ʕanhum ʔaswaʔa lːaðiː ʕamiluː wajad͡ʒᵊzijahum ʔad͡ʒᵊrahuᵐ biʔaħsani lːaðiː kaːnuː jaʕmaluːn
39:36	أَلَيۡسَ ٱللَّهُ بِكَافٍ عَبۡدَهُۥ‌ۖ وَيُخَوِّفُونَكَ بِٱلَّذِينَ مِن دُونِهِۦ‌ۚ وَمَن يُضۡلِلِ ٱللَّهُ فَمَا لَهُۥ مِنۡ هَادٍ	ʔalajsa lːaːhu bikaːfin ʕabᵊdahuː wajuxawːifuːnaka bilːaðiːna miⁿ duːnihiː wama j̃ːudˤlili lːaːhu famaː lahuː min haːdᵊ
39:37	وَمَن يَهۡدِ ٱللَّهُ فَمَا لَهُۥ مِن مُّضِلٍّ‌ۗ أَلَيۡسَ ٱللَّهُ بِعَزِيزٍ ذِى ٱنتِقَامٍ	wama j̃ːahdi lːaːhu famaː lahuː mi mː̃udˤilːin ʔalajsa lːaːhu biʕaziːziⁿ ðiː ⁿtiqaːm
39:38	وَلَئِن سَأَلۡتَهُم مَّنۡ خَلَقَ ٱلسَّمَـٰوٰتِ وَٱلۡأَرۡضَ لَيَقُولُنَّ ٱللَّهُ‌ۚ قُلۡ أَفَرَءَيۡتُم مَّا تَدۡعُونَ مِن دُونِ ٱللَّهِ إِنۡ أَرَادَنِىَ ٱللَّهُ بِضُرٍّ هَلۡ هُنَّ كَـٰشِفَـٰتُ ضُرِّهِۦٓ أَوۡ أَرَادَنِى بِرَحۡمَةٍ هَلۡ هُنَّ مُمۡسِكَـٰتُ رَحۡمَتِهِۦ‌ۚ قُلۡ حَسۡبِىَ ٱللَّهُ‌ۖ عَلَيۡهِ يَتَوَكَّلُ ٱلۡمُتَوَكِّلُونَ	walaʔiⁿ saʔaltahu mː̃an xalaqa sːamaːwaːti walʔardˤa lajaquːlunː̃a lːaːhu qul ʔafaraʔajtu mː̃aː tadᵊʕuːna miⁿ duːni lːaːhi ʔin ʔaraːdanija lːaːhu bidˤurːin hal hunː̃a kaːʃifaːtu dˤurːihiːː ʔaw ʔaraːdaniː biraħmatin hal hunː̃a mumsikaːtu raħmatihiː qul ħasbija lːaːhu ʕalajhi jatawakːalu lmutawakːiluːn
39:39	قُلۡ يَـٰقَوۡمِ ٱعۡمَلُواۡ عَلَىٰ مَكَانَتِكُمۡ إِنِّى عَـٰمِلٌ‌ۖ فَسَوۡفَ تَعۡلَمُونَ	qul jaːqawmi ʕmaluː ʕalaː makaːnatikum ʔinː̃iː ʕaːmiluⁿ fasawfa taʕlamuːn
39:40	مَن يَأۡتِيهِ عَذَابٌ يُخۡزِيهِ وَيَحِلُّ عَلَيۡهِ عَذَابٌ مُّقِيمٌ	ma j̃ːaʔtiːhi ʕaðaːbu j̃ːuxziːhi wajaħilːu ʕalajhi ʕaðaːbu mː̃uqiːm
39:41	إِنَّآ أَنزَلۡنَا عَلَيۡكَ ٱلۡكِتَـٰبَ لِلنَّاسِ بِٱلۡحَقِّ‌ۖ فَمَنِ ٱهۡتَدَىٰ فَلِنَفۡسِهِۦ‌ۖ وَمَن ضَلَّ فَإِنَّمَا يَضِلُّ عَلَيۡهَا‌ۖ وَمَآ أَنتَ عَلَيۡهِم بِوَكِيلٍ	ʔinː̃aːː ʔaⁿzalnaː ʕalajka lkitaːba lilnː̃aːsi bilħaqːi famani htadaː falinafsihiː wamaⁿ dˤalːa faʔinː̃amaː jadˤilːu ʕalajhaː wamaːː ʔaⁿta ʕalajhiᵐ biwakiːl
39:42	ٱللَّهُ يَتَوَفَّى ٱلۡأَنفُسَ حِينَ مَوۡتِهَا وَٱلَّتِى لَمۡ تَمُتۡ فِى مَنَامِهَا‌ۖ فَيُمۡسِكُ ٱلَّتِى قَضَىٰ عَلَيۡهَا ٱلۡمَوۡتَ وَيُرۡسِلُ ٱلۡأُخۡرَىٰٓ إِلَىٰٓ أَجَلٍ مُّسَمًّى‌ۚ إِنَّ فِى ذٰلِكَ لَأَيَـٰتٍ لِّقَوۡمٍ يَتَفَكَّرُونَ	ʔalːaːhu jatawafːaː lʔaⁿfusa ħiːna mawtihaː walːatiː lam tamut fiː manaːmihaː fajumsiku lːatiː qadˤaː ʕalajhaː lmawta wajursilu lʔuxraːː ʔilaːː ʔad͡ʒali mː̃usamː̃an ʔinː̃a fiː ðaːlika laʔajaːti lːiqawmi j̃ːatafakːaruːn
39:43	أَمِ ٱتَّخَذُواۡ مِن دُونِ ٱللَّهِ شُفَعَآءَ‌ۚ قُلۡ أَوَلَوۡ كَانُواۡ لَا يَمۡلِكُونَ شَيۡــًٔا وَلَا يَعۡقِلُونَ	ʔami tːaxaðuː miⁿ duːni lːaːhi ʃufaʕaːːʔa qul ʔawalaw kaːnuː laː jamlikuːna ʃajʔa w̃ːalaː jaʕqiluːn
39:44	قُل لِّلَّهِ ٱلشَّفَـٰعَةُ جَمِيعًا‌ۖ لَّهُۥ مُلۡكُ ٱلسَّمَـٰوٰتِ وَٱلۡأَرۡضِ‌ۖ ثُمَّ إِلَيۡهِ تُرۡجَعُونَ	qu lːilːaːhi ʃːafaːʕatu d͡ʒamiːʕa lːahuː mulku sːamaːwaːti walʔardˤi θumː̃a ʔilajhi turd͡ʒaʕuːn
39:45	وَإِذَا ذُكِرَ ٱللَّهُ وَحۡدَهُ ٱشۡمَأَزَّتۡ قُلُوبُ ٱلَّذِينَ لَا يُؤۡمِنُونَ بِٱلۡأَخِرَةِ‌ۖ وَإِذَا ذُكِرَ ٱلَّذِينَ مِن دُونِهِۦٓ إِذَا هُمۡ يَسۡتَبۡشِرُونَ	waʔiðaː ðukira lːaːhu waħdahu ʃmaʔazːat quluːbu lːaðiːna laː juʔminuːna bilʔaxirati waʔiðaː ðukira lːaðiːna miⁿ duːnihiːː ʔiðaː hum jastabᵊʃiruːn
39:46	قُلِ ٱللَّهُمَّ فَاطِرَ ٱلسَّمَـٰوٰتِ وَٱلۡأَرۡضِ عَـٰلِمَ ٱلۡغَيۡبِ وَٱلشَّهَـٰدَةِ أَنتَ تَحۡكُمُ بَيۡنَ عِبَادِكَ فِى مَا كَانُواۡ فِيهِ يَخۡتَلِفُونَ	quli lːaːhumː̃a faːtˤira sːamaːwaːti walʔardˤi ʕaːlima lɣajbi waʃːahaːdati ʔaⁿta taħkumu bajna ʕibaːdika fiː maː kaːnuː fiːhi jaxtalifuːn
